sim/none/none                                      Do nothing.
sim/fuel/fuel_pump_1_on                            Fuel pump for engine #1 on.
sim/fuel/fuel_pump_2_on                            Fuel pump for engine #2 on.
sim/fuel/fuel_pump_3_on                            Fuel pump for engine #3 on.
sim/fuel/fuel_pump_4_on                            Fuel pump for engine #4 on.
sim/fuel/fuel_pump_5_on                            Fuel pump for engine #5 on.
sim/fuel/fuel_pump_6_on                            Fuel pump for engine #6 on.
sim/fuel/fuel_pump_7_on                            Fuel pump for engine #7 on.
sim/fuel/fuel_pump_8_on                            Fuel pump for engine #8 on.
sim/fuel/fuel_pump_1_off                           Fuel pump for engine #1 off.
sim/fuel/fuel_pump_2_off                           Fuel pump for engine #2 off.
sim/fuel/fuel_pump_3_off                           Fuel pump for engine #3 off.
sim/fuel/fuel_pump_4_off                           Fuel pump for engine #4 off.
sim/fuel/fuel_pump_5_off                           Fuel pump for engine #5 off.
sim/fuel/fuel_pump_6_off                           Fuel pump for engine #6 off.
sim/fuel/fuel_pump_7_off                           Fuel pump for engine #7 off.
sim/fuel/fuel_pump_8_off                           Fuel pump for engine #8 off.
sim/fuel/fuel_pump_1_tog                           Fuel pump for engine #1 toggle.
sim/fuel/fuel_pump_2_tog                           Fuel pump for engine #2 toggle.
sim/fuel/fuel_pump_3_tog                           Fuel pump for engine #3 toggle.
sim/fuel/fuel_pump_4_tog                           Fuel pump for engine #4 toggle.
sim/fuel/fuel_pump_5_tog                           Fuel pump for engine #5 toggle.
sim/fuel/fuel_pump_6_tog                           Fuel pump for engine #6 toggle.
sim/fuel/fuel_pump_7_tog                           Fuel pump for engine #7 toggle.
sim/fuel/fuel_pump_8_tog                           Fuel pump for engine #8 toggle.
sim/fuel/fuel_pump_1_prime                         Fuel pump prime for engine #1 on.
sim/fuel/fuel_pump_2_prime                         Fuel pump prime for engine #2 on.
sim/fuel/fuel_pump_3_prime                         Fuel pump prime for engine #3 on.
sim/fuel/fuel_pump_4_prime                         Fuel pump prime for engine #4 on.
sim/fuel/fuel_pump_5_prime                         Fuel pump prime for engine #5 on.
sim/fuel/fuel_pump_6_prime                         Fuel pump prime for engine #6 on.
sim/fuel/fuel_pump_7_prime                         Fuel pump prime for engine #7 on.
sim/fuel/fuel_pump_8_prime                         Fuel pump prime for engine #8 on.
sim/electrical/cross_tie_on                        Cross-tie on.
sim/electrical/cross_tie_off                       Cross-tie off.
sim/electrical/cross_tie_toggle                    Cross-tie toggle.
sim/electrical/inverters_on                        Inverters on.
sim/electrical/inverters_off                       Inverters off.
sim/electrical/inverters_toggle                    Inverters toggle.
sim/electrical/inverter_1_on                       Inverter 1 on.
sim/electrical/inverter_1_off                      Inverter 1 off.
sim/electrical/inverter_1_toggle                   Inverter 1 toggle.
sim/electrical/inverter_2_on                       Inverter 2 on.
sim/electrical/inverter_2_off                      Inverter 2 off.
sim/electrical/inverter_2_toggle                   Inverter 2 toggle.
sim/electrical/batteries_toggle                    Batteries all toggle.
sim/electrical/battery_1_on                        Battery 1 on.
sim/electrical/battery_2_on                        Battery 2 on.
sim/electrical/battery_1_off                       Battery 1 off.
sim/electrical/battery_2_off                       Battery 2 off.
sim/electrical/battery_1_toggle                    Battery 1 toggle.
sim/electrical/battery_2_toggle                    Battery 2 toggle.
sim/electrical/generators_toggle                   Generators all toggle.
sim/electrical/generator_1_off                     Generator #1 off.
sim/electrical/generator_2_off                     Generator #2 off.
sim/electrical/generator_3_off                     Generator #3 off.
sim/electrical/generator_4_off                     Generator #4 off.
sim/electrical/generator_5_off                     Generator #5 off.
sim/electrical/generator_6_off                     Generator #6 off.
sim/electrical/generator_7_off                     Generator #7 off.
sim/electrical/generator_8_off                     Generator #8 off.
sim/electrical/generator_1_on                      Generator #1 on.
sim/electrical/generator_2_on                      Generator #2 on.
sim/electrical/generator_3_on                      Generator #3 on.
sim/electrical/generator_4_on                      Generator #4 on.
sim/electrical/generator_5_on                      Generator #5 on.
sim/electrical/generator_6_on                      Generator #6 on.
sim/electrical/generator_7_on                      Generator #7 on.
sim/electrical/generator_8_on                      Generator #8 on.
sim/electrical/generator_1_toggle                  Generator #1 toggle.
sim/electrical/generator_2_toggle                  Generator #2 toggle.
sim/electrical/generator_3_toggle                  Generator #3 toggle.
sim/electrical/generator_4_toggle                  Generator #4 toggle.
sim/electrical/generator_5_toggle                  Generator #5 toggle.
sim/electrical/generator_6_toggle                  Generator #6 toggle.
sim/electrical/generator_7_toggle                  Generator #7 toggle.
sim/electrical/generator_8_toggle                  Generator #8 toggle.
sim/electrical/generator_1_reset                   Generator #1 reset.
sim/electrical/generator_2_reset                   Generator #2 reset.
sim/electrical/generator_3_reset                   Generator #3 reset.
sim/electrical/generator_4_reset                   Generator #4 reset.
sim/electrical/generator_5_reset                   Generator #5 reset.
sim/electrical/generator_6_reset                   Generator #6 reset.
sim/electrical/generator_7_reset                   Generator #7 reset.
sim/electrical/generator_8_reset                   Generator #8 reset.
sim/electrical/APU_start                           APU start.
sim/electrical/APU_on                              APU on.
sim/electrical/APU_off                             APU off.
sim/electrical/APU_generator_on                    APU generator on.
sim/electrical/APU_generator_off                   APU generator off.
sim/electrical/GPU_on                              GPU on.
sim/electrical/GPU_off                             GPU off.
sim/electrical/GPU_toggle                          GPU toggle.
sim/lights/nav_lights_on                           Nav lights on.
sim/lights/nav_lights_off                          Nav lights off.
sim/lights/nav_lights_toggle                       Nav lights toggle.
sim/lights/beacon_lights_on                        Beacon lights on.
sim/lights/beacon_lights_off                       Beacon lights off.
sim/lights/beacon_lights_toggle                    Beacon lights toggle.
sim/lights/strobe_lights_on                        Strobe lights on.
sim/lights/strobe_lights_off                       Strobe lights off.
sim/lights/strobe_lights_toggle                    Strobe lights toggle.
sim/lights/taxi_lights_on                          Taxi lights on.
sim/lights/taxi_lights_off                         Taxi lights off.
sim/lights/taxi_lights_toggle                      Taxi lights toggle.
sim/lights/landing_lights_on                       Landing lights on.
sim/lights/landing_lights_off                      Landing lights off.
sim/lights/landing_lights_toggle                   Landing lights toggle.
sim/lights/landing_01_light_on                     Landing light 01 on.
sim/lights/landing_02_light_on                     Landing light 02 on.
sim/lights/landing_03_light_on                     Landing light 03 on.
sim/lights/landing_04_light_on                     Landing light 04 on.
sim/lights/landing_05_light_on                     Landing light 05 on.
sim/lights/landing_06_light_on                     Landing light 06 on.
sim/lights/landing_07_light_on                     Landing light 07 on.
sim/lights/landing_08_light_on                     Landing light 08 on.
sim/lights/landing_09_light_on                     Landing light 09 on.
sim/lights/landing_10_light_on                     Landing light 10 on.
sim/lights/landing_11_light_on                     Landing light 11 on.
sim/lights/landing_12_light_on                     Landing light 12 on.
sim/lights/landing_13_light_on                     Landing light 13 on.
sim/lights/landing_14_light_on                     Landing light 14 on.
sim/lights/landing_15_light_on                     Landing light 15 on.
sim/lights/landing_16_light_on                     Landing light 16 on.
sim/lights/landing_01_light_off                    Landing light 01 off.
sim/lights/landing_02_light_off                    Landing light 02 off.
sim/lights/landing_03_light_off                    Landing light 03 off.
sim/lights/landing_04_light_off                    Landing light 04 off.
sim/lights/landing_05_light_off                    Landing light 05 off.
sim/lights/landing_06_light_off                    Landing light 06 off.
sim/lights/landing_07_light_off                    Landing light 07 off.
sim/lights/landing_08_light_off                    Landing light 08 off.
sim/lights/landing_09_light_off                    Landing light 09 off.
sim/lights/landing_10_light_off                    Landing light 10 off.
sim/lights/landing_11_light_off                    Landing light 11 off.
sim/lights/landing_12_light_off                    Landing light 12 off.
sim/lights/landing_13_light_off                    Landing light 13 off.
sim/lights/landing_14_light_off                    Landing light 14 off.
sim/lights/landing_15_light_off                    Landing light 15 off.
sim/lights/landing_16_light_off                    Landing light 16 off.
sim/lights/landing_01_light_tog                    Landing light 01 toggle.
sim/lights/landing_02_light_tog                    Landing light 02 toggle.
sim/lights/landing_03_light_tog                    Landing light 03 toggle.
sim/lights/landing_04_light_tog                    Landing light 04 toggle.
sim/lights/landing_05_light_tog                    Landing light 05 toggle.
sim/lights/landing_06_light_tog                    Landing light 06 toggle.
sim/lights/landing_07_light_tog                    Landing light 07 toggle.
sim/lights/landing_08_light_tog                    Landing light 08 toggle.
sim/lights/landing_09_light_tog                    Landing light 09 toggle.
sim/lights/landing_10_light_tog                    Landing light 10 toggle.
sim/lights/landing_11_light_tog                    Landing light 11 toggle.
sim/lights/landing_12_light_tog                    Landing light 12 toggle.
sim/lights/landing_13_light_tog                    Landing light 13 toggle.
sim/lights/landing_14_light_tog                    Landing light 14 toggle.
sim/lights/landing_15_light_tog                    Landing light 15 toggle.
sim/lights/landing_16_light_tog                    Landing light 16 toggle.
sim/lights/generic_01_light_tog                    Generic light 01 toggle.
sim/lights/generic_02_light_tog                    Generic light 02 toggle.
sim/lights/generic_03_light_tog                    Generic light 03 toggle.
sim/lights/generic_04_light_tog                    Generic light 04 toggle.
sim/lights/generic_05_light_tog                    Generic light 05 toggle.
sim/lights/generic_06_light_tog                    Generic light 06 toggle.
sim/lights/generic_07_light_tog                    Generic light 07 toggle.
sim/lights/generic_08_light_tog                    Generic light 08 toggle.
sim/lights/generic_09_light_tog                    Generic light 09 toggle.
sim/lights/generic_10_light_tog                    Generic light 10 toggle.
sim/lights/generic_11_light_tog                    Generic light 11 toggle.
sim/lights/generic_12_light_tog                    Generic light 12 toggle.
sim/lights/generic_13_light_tog                    Generic light 13 toggle.
sim/lights/generic_14_light_tog                    Generic light 14 toggle.
sim/lights/generic_15_light_tog                    Generic light 15 toggle.
sim/lights/generic_16_light_tog                    Generic light 16 toggle.
sim/lights/generic_17_light_tog                    Generic light 17 toggle.
sim/lights/generic_18_light_tog                    Generic light 18 toggle.
sim/lights/generic_19_light_tog                    Generic light 19 toggle.
sim/lights/generic_20_light_tog                    Generic light 20 toggle.
sim/lights/generic_21_light_tog                    Generic light 21 toggle.
sim/lights/generic_22_light_tog                    Generic light 22 toggle.
sim/lights/generic_23_light_tog                    Generic light 23 toggle.
sim/lights/generic_24_light_tog                    Generic light 24 toggle.
sim/lights/generic_25_light_tog                    Generic light 25 toggle.
sim/lights/generic_26_light_tog                    Generic light 26 toggle.
sim/lights/generic_27_light_tog                    Generic light 27 toggle.
sim/lights/generic_28_light_tog                    Generic light 28 toggle.
sim/lights/generic_29_light_tog                    Generic light 29 toggle.
sim/lights/generic_30_light_tog                    Generic light 30 toggle.
sim/lights/generic_31_light_tog                    Generic light 31 toggle.
sim/lights/generic_32_light_tog                    Generic light 32 toggle.
sim/lights/generic_33_light_tog                    Generic light 33 toggle.
sim/lights/generic_34_light_tog                    Generic light 34 toggle.
sim/lights/generic_35_light_tog                    Generic light 35 toggle.
sim/lights/generic_36_light_tog                    Generic light 36 toggle.
sim/lights/generic_37_light_tog                    Generic light 37 toggle.
sim/lights/generic_38_light_tog                    Generic light 38 toggle.
sim/lights/generic_39_light_tog                    Generic light 39 toggle.
sim/lights/generic_40_light_tog                    Generic light 40 toggle.
sim/lights/generic_41_light_tog                    Generic light 41 toggle.
sim/lights/generic_42_light_tog                    Generic light 42 toggle.
sim/lights/generic_43_light_tog                    Generic light 43 toggle.
sim/lights/generic_44_light_tog                    Generic light 44 toggle.
sim/lights/generic_45_light_tog                    Generic light 45 toggle.
sim/lights/generic_46_light_tog                    Generic light 46 toggle.
sim/lights/generic_47_light_tog                    Generic light 47 toggle.
sim/lights/generic_48_light_tog                    Generic light 48 toggle.
sim/lights/generic_49_light_tog                    Generic light 49 toggle.
sim/lights/generic_50_light_tog                    Generic light 50 toggle.
sim/lights/generic_51_light_tog                    Generic light 51 toggle.
sim/lights/generic_52_light_tog                    Generic light 52 toggle.
sim/lights/generic_53_light_tog                    Generic light 53 toggle.
sim/lights/generic_54_light_tog                    Generic light 54 toggle.
sim/lights/generic_55_light_tog                    Generic light 55 toggle.
sim/lights/generic_56_light_tog                    Generic light 56 toggle.
sim/lights/generic_57_light_tog                    Generic light 57 toggle.
sim/lights/generic_58_light_tog                    Generic light 58 toggle.
sim/lights/generic_59_light_tog                    Generic light 59 toggle.
sim/lights/generic_60_light_tog                    Generic light 60 toggle.
sim/lights/generic_61_light_tog                    Generic light 61 toggle.
sim/lights/generic_62_light_tog                    Generic light 62 toggle.
sim/lights/generic_63_light_tog                    Generic light 63 toggle.
sim/lights/generic_64_light_tog                    Generic light 64 toggle.
sim/lights/spot_lights_on                          Spot lights on.
sim/lights/spot_lights_off                         Spot lights off.
sim/lights/spot_lights_toggle                      Spot lights toggle.
sim/systems/avionics_on                            Avionics on.
sim/systems/avionics_off                           Avionics off.
sim/systems/avionics_toggle                        Avionics toggle.
sim/bleed_air/bleed_air_down                       Bleed air mode down.
sim/bleed_air/bleed_air_up                         Bleed air mode up.
sim/bleed_air/bleed_air_off                        Bleed air off.
sim/bleed_air/bleed_air_left                       Bleed air from left engine.
sim/bleed_air/bleed_air_both                       Bleed air from either engine.
sim/bleed_air/bleed_air_right                      Bleed air from right engine.
sim/bleed_air/bleed_air_apu                        Bleed air from APU.
sim/bleed_air/bleed_air_auto                       Bleed air from any engine or APU.
sim/bleed_air/bleed_air_left_on                    Bleed air left engine on.
sim/bleed_air/bleed_air_left_ins_only              Bleed air left engine instruments only.
sim/bleed_air/bleed_air_left_off                   Bleed air left engine off.
sim/bleed_air/bleed_air_right_on                   Bleed air right engine on.
sim/bleed_air/bleed_air_right_ins_only             Bleed air right engine instruments only.
sim/bleed_air/bleed_air_right_off                  Bleed air right engine off.
sim/pressurization/test                            Pressurization test.
sim/pressurization/dump_on                         Dump pressurization on.
sim/pressurization/dump_off                        Dump pressurization off.
sim/pressurization/vvi_down                        Cabin vertical speed down.
sim/pressurization/vvi_up                          Cabin vertical speed up.
sim/pressurization/cabin_alt_down                  Cabin altitude down.
sim/pressurization/cabin_alt_up                    Cabin altitude up.
sim/ice/anti_ice_toggle                            Anti-ice: toggle all.
sim/ice/alternate_static_port                      Toggle alternate static port.
sim/ice/pitot_heat0_on                             Anti-ice: left pitot heat on.
sim/ice/pitot_heat1_on                             Anti-ice: right pitot heat on.
sim/ice/pitot_heat0_off                            Anti-ice: left pitot heat off.
sim/ice/pitot_heat1_off                            Anti-ice: right pitot heat off.
sim/ice/pitot_heat0_tog                            Anti-ice: left pitot heat toggle.
sim/ice/pitot_heat1_tog                            Anti-ice: right pitot heat toggle.
sim/ice/static_heat0_on                            Anti-ice: left static heat on.
sim/ice/static_heat1_on                            Anti-ice: right static heat on.
sim/ice/static_heat0_off                           Anti-ice: left static heat off.
sim/ice/static_heat1_off                           Anti-ice: right static heat off.
sim/ice/AOA_heat0_on                               Anti-ice: AOA on.
sim/ice/AOA_heat1_on                               Anti-ice: AOA on.
sim/ice/AOA_heat0_off                              Anti-ice: AOA off.
sim/ice/AOA_heat1_off                              Anti-ice: AOA off.
sim/ice/AOA_heat0_tog                              Anti-ice: AOA toggle.
sim/ice/AOA_heat1_tog                              Anti-ice: AOA toggle.
sim/ice/window_heat_on                             Anti-ice: window heat on.
sim/ice/window_heat_off                            Anti-ice: window heat off.
sim/ice/window_heat_tog                            Anti-ice: window heat toggle.
sim/ice/wing_heat_on                               Anti-ice: all wing, de-ice on.
sim/ice/wing_heat0_on                              Anti-ice: left wing, de-ice on.
sim/ice/wing_heat1_on                              Anti-ice: right wing, de-ice on.
sim/ice/wing_heat_off                              Anti-ice: all wing, de-ice off.
sim/ice/wing_heat0_off                             Anti-ice: left wing, de-ice off.
sim/ice/wing_heat1_off                             Anti-ice: right wing, de-ice off.
sim/ice/wing_heat_tog                              Anti-ice: all wing, de-ice toggle.
sim/ice/wing_heat0_tog                             Anti-ice: left wing, de-ice toggle.
sim/ice/wing_heat1_tog                             Anti-ice: right wing, de-ice toggle.
sim/ice/inlet_heat0_on                             Anti-ice: engine #1 inlet heat on.
sim/ice/inlet_heat1_on                             Anti-ice: engine #2 inlet heat on.
sim/ice/inlet_heat2_on                             Anti-ice: engine #3 inlet heat on.
sim/ice/inlet_heat3_on                             Anti-ice: engine #4 inlet heat on.
sim/ice/inlet_heat4_on                             Anti-ice: engine #5 inlet heat on.
sim/ice/inlet_heat5_on                             Anti-ice: engine #6 inlet heat on.
sim/ice/inlet_heat6_on                             Anti-ice: engine #7 inlet heat on.
sim/ice/inlet_heat7_on                             Anti-ice: engine #8 inlet heat on.
sim/ice/inlet_heat0_off                            Anti-ice: engine #1 inlet heat off.
sim/ice/inlet_heat1_off                            Anti-ice: engine #2 inlet heat off.
sim/ice/inlet_heat2_off                            Anti-ice: engine #3 inlet heat off.
sim/ice/inlet_heat3_off                            Anti-ice: engine #4 inlet heat off.
sim/ice/inlet_heat4_off                            Anti-ice: engine #5 inlet heat off.
sim/ice/inlet_heat5_off                            Anti-ice: engine #6 inlet heat off.
sim/ice/inlet_heat6_off                            Anti-ice: engine #7 inlet heat off.
sim/ice/inlet_heat7_off                            Anti-ice: engine #8 inlet heat off.
sim/ice/inlet_heat0_tog                            Anti-ice: engine #1 inlet heat toggle.
sim/ice/inlet_heat1_tog                            Anti-ice: engine #2 inlet heat toggle.
sim/ice/inlet_heat2_tog                            Anti-ice: engine #3 inlet heat toggle.
sim/ice/inlet_heat3_tog                            Anti-ice: engine #4 inlet heat toggle.
sim/ice/inlet_heat4_tog                            Anti-ice: engine #5 inlet heat toggle.
sim/ice/inlet_heat5_tog                            Anti-ice: engine #6 inlet heat toggle.
sim/ice/inlet_heat6_tog                            Anti-ice: engine #7 inlet heat toggle.
sim/ice/inlet_heat7_tog                            Anti-ice: engine #8 inlet heat toggle.
sim/ice/prop_heat_on                               Anti-ice: all prop heat on.
sim/ice/prop_heat_off                              Anti-ice: all prop heat off.
sim/ice/prop_heat_tog                              Anti-ice: all prop heat toggle.
sim/ice/prop_heat0_on                              Anti-ice: engine #1 prop heat on.
sim/ice/prop_heat1_on                              Anti-ice: engine #2 prop heat on.
sim/ice/prop_heat2_on                              Anti-ice: engine #3 prop heat on.
sim/ice/prop_heat3_on                              Anti-ice: engine #4 prop heat on.
sim/ice/prop_heat4_on                              Anti-ice: engine #5 prop heat on.
sim/ice/prop_heat5_on                              Anti-ice: engine #6 prop heat on.
sim/ice/prop_heat6_on                              Anti-ice: engine #7 prop heat on.
sim/ice/prop_heat7_on                              Anti-ice: engine #8 prop heat on.
sim/ice/prop_heat0_off                             Anti-ice: engine #1 prop heat off.
sim/ice/prop_heat1_off                             Anti-ice: engine #2 prop heat off.
sim/ice/prop_heat2_off                             Anti-ice: engine #3 prop heat off.
sim/ice/prop_heat3_off                             Anti-ice: engine #4 prop heat off.
sim/ice/prop_heat4_off                             Anti-ice: engine #5 prop heat off.
sim/ice/prop_heat5_off                             Anti-ice: engine #6 prop heat off.
sim/ice/prop_heat6_off                             Anti-ice: engine #7 prop heat off.
sim/ice/prop_heat7_off                             Anti-ice: engine #8 prop heat off.
sim/ice/prop_heat0_tog                             Anti-ice: engine #1 prop heat toggle.
sim/ice/prop_heat1_tog                             Anti-ice: engine #2 prop heat toggle.
sim/ice/prop_heat2_tog                             Anti-ice: engine #3 prop heat toggle.
sim/ice/prop_heat3_tog                             Anti-ice: engine #4 prop heat toggle.
sim/ice/prop_heat4_tog                             Anti-ice: engine #5 prop heat toggle.
sim/ice/prop_heat5_tog                             Anti-ice: engine #6 prop heat toggle.
sim/ice/prop_heat6_tog                             Anti-ice: engine #7 prop heat toggle.
sim/ice/prop_heat7_tog                             Anti-ice: engine #8 prop heat toggle.
sim/ice/detect_on                                  Anti-ice: ice detection on.
sim/ice/detect_off                                 Anti-ice: ice detection off.
sim/flight_controls/parachute_flares               Deploy parachute flares.
sim/flight_controls/smoke_toggle                   Toggle smoke puffing.
sim/flight_controls/water_scoop_toggle             Toggle water scoop.
sim/flight_controls/boost                          Water or Nitrous engine BOOST.
sim/flight_controls/ignite_jato                    Ignite JATO.
sim/flight_controls/jettison_payload               Jettison the payload.
sim/flight_controls/dump_fuel_on                   Dump fuel on.
sim/flight_controls/dump_fuel_off                  Dump fuel off.
sim/flight_controls/dump_fuel_toggle               Dump fuel toggle.
sim/flight_controls/deploy_parachute               Deploy/jettison chute.
sim/flight_controls/eject                          Eject.
sim/flight_controls/drop_tank                      Drop all drop tanks.
sim/weapons/re_arm_aircraft                        Re-arm aircraft to default specs.
sim/weapons/master_arm_on                          Master arm on.
sim/weapons/master_arm_off                         Master arm off.
sim/weapons/fire_mode_down                         Weapon single/pair/ripple/salvo down.
sim/weapons/fire_mode_up                           Weapon single/pair/ripple/salvo up.
sim/weapons/fire_rate_down                         Weapon fire rate down.
sim/weapons/fire_rate_up                           Weapon fire rate up.
sim/weapons/weapon_select_down                     Weapon select down.
sim/weapons/weapon_select_up                       Weapon select up.
sim/weapons/fire_guns                              Fire guns.
sim/weapons/fire_air_to_air                        Fire air-to-air selection.
sim/weapons/fire_air_to_ground                     Fire air-to-ground selection.
sim/weapons/fire_any_armed                         Fire all armed selections.
sim/weapons/fire_any_shell                         Fire selected weapon.
sim/weapons/GPS_lock_here                          Target camera pointer in GPS.
sim/weapons/weapon_target_down                     Target select down.
sim/weapons/weapon_target_up                       Target select up.
sim/weapons/deploy_chaff                           Deploy chaff.
sim/weapons/deploy_flares                          Deploy flares.
sim/operation/prev_livery                          Load previous livery.
sim/operation/next_livery                          Load next livery.
sim/systems/seatbelt_sign_toggle                   Toggle seatbelt sign.
sim/systems/no_smoking_toggle                      Toggle smoking sign.
sim/systems/wipers_dn                              Windshield wipers down.
sim/systems/wipers_up                              Windshield wipers up.
sim/lights/spot_light_left                         Aim spotlight left.
sim/lights/spot_light_right                        Aim spotlight right.
sim/lights/spot_light_up                           Aim spotlight up.
sim/lights/spot_light_down                         Aim spotlight down.
sim/lights/spot_light_center                       Aim spotlight to center.
sim/flight_controls/door_open_1                    Door #1 open.
sim/flight_controls/door_open_2                    Door #2 open.
sim/flight_controls/door_open_3                    Door #3 open.
sim/flight_controls/door_open_4                    Door #4 open.
sim/flight_controls/door_open_5                    Door #5 open.
sim/flight_controls/door_open_6                    Door #6 open.
sim/flight_controls/door_open_7                    Door #7 open.
sim/flight_controls/door_open_8                    Door #8 open.
sim/flight_controls/door_open_9                    Door #9 open.
sim/flight_controls/door_open_10                   Door #10 open.
sim/flight_controls/door_close_1                   Door #1 close.
sim/flight_controls/door_close_2                   Door #2 close.
sim/flight_controls/door_close_3                   Door #3 close.
sim/flight_controls/door_close_4                   Door #4 close.
sim/flight_controls/door_close_5                   Door #5 close.
sim/flight_controls/door_close_6                   Door #6 close.
sim/flight_controls/door_close_7                   Door #7 close.
sim/flight_controls/door_close_8                   Door #8 close.
sim/flight_controls/door_close_9                   Door #9 close.
sim/flight_controls/door_close_10                  Door #10 close.
sim/general/action                                 General action command.
sim/flight_controls/glider_tow_release             Release tow-plane cable for gliders.
sim/flight_controls/winch_release                  Release winch (for gliders).
sim/flight_controls/glider_all_release             Release tow-plane and winch for gliders.
sim/flight_controls/engage_cat_shot                Engage catapault.
sim/flight_controls/glider_tow_left                Tow-plane for gliders: Take me left.
sim/flight_controls/glider_tow_straight            Tow-plane for gliders: Take me straight.
sim/flight_controls/glider_tow_right               Tow-plane for gliders: Take me right.
sim/ground_ops/service_plane                       Service the airplane with ground trucks.
sim/ground_ops/pushback_left                       Push-back for airliners: Nose 90 left.
sim/ground_ops/pushback_straight                   Push-back for airliners: Straight back.
sim/ground_ops/pushback_right                      Push-back for airliners: Nose 90 right.
sim/ground_ops/pushback_stop                       Push-back for airliners: Stop and let go.
sim/ground_ops/toggle_window                       Toggle the ground handling window.
sim/radios/power_nav1_off                          Power NAV1 off.
sim/radios/power_nav1_on                           Power NAV1 on.
sim/radios/power_nav2_off                          Power NAV2 off.
sim/radios/power_nav2_on                           Power NAV2 on.
sim/radios/power_com1_off                          Power COM1 off.
sim/radios/power_com1_on                           Power COM1 on.
sim/radios/power_com2_off                          Power COM2 off.
sim/radios/power_com2_on                           Power COM2 on.
sim/radios/power_adf1_dn                           Power ADF1 dn.
sim/radios/power_adf1_up                           Power ADF1 up.
sim/radios/power_adf2_dn                           Power ADF2 dn.
sim/radios/power_adf2_up                           Power ADF2 up.
sim/radios/adf1_power_mode_0                       ADF 1 off.
sim/radios/adf1_power_mode_1                       ADF 1 antenna.
sim/radios/adf1_power_mode_2                       ADF 1 on.
sim/radios/adf1_power_mode_3                       ADF 1 tone.
sim/radios/adf1_power_mode_4                       ADF 1 test.
sim/radios/adf2_power_mode_0                       ADF 2 off.
sim/radios/adf2_power_mode_1                       ADF 2 antenna.
sim/radios/adf2_power_mode_2                       ADF 2 on.
sim/radios/adf2_power_mode_3                       ADF 2 tone.
sim/radios/adf2_power_mode_4                       ADF 2 test.
sim/radios/actv_com1_coarse_down                   COM 1 coarse down.
sim/radios/actv_com1_coarse_up                     COM 1 coarse up.
sim/radios/actv_com1_fine_down                     COM 1 fine down (25kHz).
sim/radios/actv_com1_fine_up                       COM 1 fine up (25kHz).
sim/radios/actv_com1_coarse_down_833               COM 1 coarse down (8.33 kHz).
sim/radios/actv_com1_coarse_up_833                 COM 1 coarse up (8.33 kHz).
sim/radios/actv_com1_fine_down_833                 COM 1 fine down (8.33 kHz).
sim/radios/actv_com1_fine_up_833                   COM 1 fine up (8.33 kHz).
sim/radios/stby_com1_coarse_down                   COM 1 standby coarse down.
sim/radios/stby_com1_coarse_up                     COM 1 standby coarse up.
sim/radios/stby_com1_fine_down                     COM 1 standby fine down (25kHz).
sim/radios/stby_com1_fine_up                       COM 1 standby fine up (25kHz).
sim/radios/stby_com1_coarse_down_833               COM 1 standby coarse down (8.33kHz).
sim/radios/stby_com1_coarse_up_833                 COM 1 standby coarse up (8.33kHz).
sim/radios/stby_com1_fine_down_833                 COM 1 standby fine down (8.33kHz).
sim/radios/stby_com1_fine_up_833                   COM 1 standby fine up (8.33kHz).
sim/radios/actv_com2_coarse_down                   COM 2 coarse down.
sim/radios/actv_com2_coarse_up                     COM 2 coarse up.
sim/radios/actv_com2_fine_down                     COM 2 fine down (25kHz).
sim/radios/actv_com2_fine_up                       COM 2 fine up (25kHz).
sim/radios/actv_com2_coarse_down_833               COM 2 coarse down (8.33kHz).
sim/radios/actv_com2_coarse_up_833                 COM 2 coarse up (8.33kHz).
sim/radios/actv_com2_fine_down_833                 COM 2 fine down (8.33kHz).
sim/radios/actv_com2_fine_up_833                   COM 2 fine up (8.33kHz).
sim/radios/stby_com2_coarse_down                   COM 2 standby coarse down.
sim/radios/stby_com2_coarse_up                     COM 2 standby coarse up.
sim/radios/stby_com2_fine_down                     COM 2 standby fine down (25kHz).
sim/radios/stby_com2_fine_up                       COM 2 standby fine up (25kHz).
sim/radios/stby_com2_coarse_down_833               COM 2 standby coarse down (8.33kHz).
sim/radios/stby_com2_coarse_up_833                 COM 2 standby coarse up (8.33kHz).
sim/radios/stby_com2_fine_down_833                 COM 2 standby fine down (8.33kHz).
sim/radios/stby_com2_fine_up_833                   COM 2 standby fine up (8.33kHz).
sim/radios/actv_nav1_coarse_down                   NAV 1 coarse down.
sim/radios/actv_nav1_coarse_up                     NAV 1 coarse up.
sim/radios/actv_nav1_fine_down                     NAV 1 fine down.
sim/radios/actv_nav1_fine_up                       NAV 1 fine up.
sim/radios/stby_nav1_coarse_down                   NAV 1 standby coarse down.
sim/radios/stby_nav1_coarse_up                     NAV 1 standby coarse up.
sim/radios/stby_nav1_fine_down                     NAV 1 standby fine down.
sim/radios/stby_nav1_fine_up                       NAV 1 standby fine up.
sim/radios/actv_nav2_coarse_down                   NAV 2 coarse down.
sim/radios/actv_nav2_coarse_up                     NAV 2 coarse up.
sim/radios/actv_nav2_fine_down                     NAV 2 fine down.
sim/radios/actv_nav2_fine_up                       NAV 2 fine up.
sim/radios/stby_nav2_coarse_down                   NAV 2 standby coarse down.
sim/radios/stby_nav2_coarse_up                     NAV 2 standby coarse up.
