sim/none/none                                      Do nothing.
sim/magnetos/magnetos_off_3                        Magnetos off for engine #3.
sim/magnetos/magnetos_off_4                        Magnetos off for engine #4.
sim/magnetos/magnetos_off_5                        Magnetos off for engine #5.
sim/magnetos/magnetos_off_6                        Magnetos off for engine #6.
sim/magnetos/magnetos_off_7                        Magnetos off for engine #7.
sim/magnetos/magnetos_off_8                        Magnetos off for engine #8.
sim/magnetos/magnetos_left_1                       Magnetos left for engine #1.
sim/magnetos/magnetos_left_2                       Magnetos left for engine #2.
sim/magnetos/magnetos_left_3                       Magnetos left for engine #3.
sim/magnetos/magnetos_left_4                       Magnetos left for engine #4.
sim/magnetos/magnetos_left_5                       Magnetos left for engine #5.
sim/magnetos/magnetos_left_6                       Magnetos left for engine #6.
sim/magnetos/magnetos_left_7                       Magnetos left for engine #7.
sim/magnetos/magnetos_left_8                       Magnetos left for engine #8.
sim/magnetos/magnetos_right_1                      Magnetos right for engine #1.
sim/magnetos/magnetos_right_2                      Magnetos right for engine #2.
sim/magnetos/magnetos_right_3                      Magnetos right for engine #3.
sim/magnetos/magnetos_right_4                      Magnetos right for engine #4.
sim/magnetos/magnetos_right_5                      Magnetos right for engine #5.
sim/magnetos/magnetos_right_6                      Magnetos right for engine #6.
sim/magnetos/magnetos_right_7                      Magnetos right for engine #7.
sim/magnetos/magnetos_right_8                      Magnetos right for engine #8.
sim/magnetos/magnetos_both_1                       Magnetos both for engine #1.
sim/magnetos/magnetos_both_2                       Magnetos both for engine #2.
sim/magnetos/magnetos_both_3                       Magnetos both for engine #3.
sim/magnetos/magnetos_both_4                       Magnetos both for engine #4.
sim/magnetos/magnetos_both_5                       Magnetos both for engine #5.
sim/magnetos/magnetos_both_6                       Magnetos both for engine #6.
sim/magnetos/magnetos_both_7                       Magnetos both for engine #7.
sim/magnetos/magnetos_both_8                       Magnetos both for engine #8.
sim/ignition/ignition_down_1                       Ignition key down one notch for engine #1.
sim/ignition/ignition_down_2                       Ignition key down one notch for engine #2.
sim/ignition/ignition_down_3                       Ignition key down one notch for engine #3.
